ID,Device,Month/Year,Last Value,Usage,Rate,Cost,Created At
1,P100480,2026-03,4249.20,4249.20,0.2400,1019.81,2026-04-01T00:01:02
2,P1080,2026-03,635.20,635.20,0.2400,152.45,2026-04-01T00:01:03
3,P2A120,2026-03,3038.40,3038.40,0.2400,729.22,2026-04-01T00:01:04
4,P2B110,2026-03,431.00,431.00,0.2400,103.44,2026-04-01T00:01:04
5,P2C150,2026-03,655.00,655.00,0.2400,157.20,2026-04-01T00:01:05
6,P5A,2026-03,20.60,20.60,0.2400,4.94,2026-04-01T00:01:05
7,P5B,2026-03,355.20,355.20,0.2400,85.25,2026-04-01T00:01:05
8,P5B1,2026-03,102.80,102.80,0.2400,24.67,2026-04-01T00:01:05
9,P5L,2026-03,206.90,206.90,0.2400,49.66,2026-04-01T00:01:05
10,PAC1_2,2026-03,941.70,941.70,0.2400,226.01,2026-04-01T00:01:06
11,PAC1_3,2026-03,1007.40,1007.40,0.2400,241.78,2026-04-01T00:01:08
12,PAC1_6,2026-03,64.90,64.90,0.2400,15.58,2026-04-01T00:01:09
13,PAC5_1,2026-03,243.70,243.70,0.2400,58.49,2026-04-01T00:01:09
14,PAC5_2,2026-03,45.40,45.40,0.2400,10.90,2026-04-01T00:01:09
