ID,Device,Month/Year,Last Value,Usage,Rate,Cost,Created At
1,P100480,2026-03,4249.20,4249.20,0.1200,509.90,2026-04-01T00:01:02
2,P1080,2026-03,635.20,635.20,0.1200,76.22,2026-04-01T00:01:03
3,P2A120,2026-03,3038.40,3038.40,0.1200,364.61,2026-04-01T00:01:04
4,P2B110,2026-03,431.00,431.00,0.1200,51.72,2026-04-01T00:01:04
5,P2C150,2026-03,655.00,655.00,0.1200,78.60,2026-04-01T00:01:05
6,P5A,2026-03,20.60,20.60,0.1200,2.47,2026-04-01T00:01:05
7,P5B,2026-03,355.20,355.20,0.1200,42.62,2026-04-01T00:01:05
8,P5B1,2026-03,102.80,102.80,0.1200,12.34,2026-04-01T00:01:05
9,P5L,2026-03,206.90,206.90,0.1200,24.83,2026-04-01T00:01:05
10,PAC1_2,2026-03,941.70,941.70,0.1200,113.00,2026-04-01T00:01:06
11,PAC1_3,2026-03,1007.40,1007.40,0.1200,120.89,2026-04-01T00:01:08
12,PAC1_6,2026-03,64.90,64.90,0.1200,7.79,2026-04-01T00:01:09
13,PAC5_1,2026-03,243.70,243.70,0.1200,29.24,2026-04-01T00:01:09
14,PAC5_2,2026-03,45.40,45.40,0.1200,5.45,2026-04-01T00:01:09
15,PDPA480,2026-03,5707.40,5707.40,0.1200,684.89,2026-04-01T00:01:09
16,PML480,2026-03,750.50,750.50,0.1200,90.06,2026-04-01T00:01:09
17,SUB_1A,2026-03,4557.40,4557.40,0.1200,546.89,2026-04-01T00:01:09
18,SUB_1C,2026-03,267.60,267.60,0.1200,32.11,2026-04-01T00:01:09
19,SUB_1D,2026-03,6610.70,6610.70,0.1200,793.28,2026-04-01T00:01:09
20,SUB_MA,2026-03,800.50,800.50,0.1200,96.06,2026-04-01T00:01:09
21,SUB_P2,2026-03,2301.20,2301.20,0.1200,276.14,2026-04-01T00:01:09
